iter	MultiClass
0	1.355562153
1	1.332530177
2	1.300327787
3	1.274849915
4	1.249791633
5	1.230073055
6	1.210096923
7	1.195649092
8	1.183174774
9	1.173235457
10	1.1595754
11	1.141933059
12	1.125842505
13	1.110148525
14	1.101294946
15	1.089059847
16	1.072768618
17	1.064834432
18	1.051154655
19	1.041730698
20	1.03166129
21	1.022551336
22	1.010705056
23	1.002228225
24	0.9969749469
25	0.9914643724
26	0.9807724084
27	0.9709141677
28	0.9634547939
29	0.9561898403
30	0.9478879049
31	0.9405415881
32	0.9353525354
33	0.9295474958
34	0.92186271
35	0.9170122249
36	0.9114282698
37	0.9037340611
38	0.8993530143
39	0.8966920027
40	0.891708757
41	0.8871352321
42	0.8833369927
43	0.8747700935
44	0.8697882099
45	0.8656209463
46	0.8618918999
47	0.8582720152
48	0.8530067319
49	0.8481643404
50	0.8429953834
51	0.8364457853
52	0.8306461655
53	0.8280071088
54	0.8251751107
55	0.8214610247
56	0.8178770538
57	0.8130750753
58	0.8075361446
59	0.8018194645
60	0.7964013849
61	0.7932457107
62	0.7887697368
63	0.7860867527
64	0.7833204081
65	0.7813970644
66	0.779563388
67	0.775142818
68	0.772100476
69	0.7699862196
70	0.7651221689
71	0.7611252636
72	0.75509535
73	0.7512737804
74	0.7494654435
75	0.7472659067
76	0.7464113509
77	0.7444501157
78	0.7431419302
79	0.7399377994
80	0.7371367572
81	0.7353417977
82	0.7319631879
83	0.7291060792
84	0.7276855843
85	0.7243238362
86	0.7225395015
87	0.7201094031
88	0.7173030762
89	0.7154248147
90	0.7123396103
91	0.7098325302
92	0.7075540526
93	0.7056326274
94	0.7023455323
95	0.7008031367
96	0.6987525723
97	0.6947839308
98	0.6916621056
99	0.6892774963
100	0.6864601085
101	0.6816360372
102	0.6796583849
103	0.6783417976
104	0.6768422162
105	0.6753027772
106	0.6729640535
107	0.6707670617
108	0.6687919244
109	0.6664700733
110	0.6646643429
111	0.6613790816
112	0.6595145424
113	0.6578220576
114	0.6540040486
115	0.6518973217
116	0.649761822
117	0.6478982718
118	0.6454054561
119	0.6439373076
120	0.6422656248
121	0.6395099592
122	0.6362217414
123	0.633743253
124	0.631757028
125	0.6283869466
126	0.6272347801
127	0.6259604127
128	0.6239815936
129	0.6219266762
130	0.6205617764
131	0.6192205543
132	0.6170570015
133	0.6151441359
134	0.6122471946
135	0.6102027808
136	0.6076405611
137	0.6059005338
138	0.6043012514
139	0.6026326912
140	0.5992144948
141	0.5975679294
142	0.5946646618
143	0.5923767604
144	0.5916787583
145	0.5890709563
146	0.5877471633
147	0.5864794963
148	0.5845303231
149	0.5822403658
150	0.580649615
151	0.5775826969
152	0.576416586
153	0.5735233108
154	0.5725188922
155	0.5703982912
156	0.5690034855
157	0.5662270453
158	0.5645007484
159	0.5632926092
160	0.5609026677
161	0.5595287162
162	0.5581708347
163	0.5561620093
164	0.5528013796
165	0.5513425519
166	0.5486865712
167	0.5457220312
168	0.543864046
169	0.5421095404
170	0.5403482672
171	0.5376552272
172	0.5368039097
173	0.535630696
174	0.5338792621
175	0.5319182991
176	0.5305021594
177	0.5285613656
178	0.5272286392
179	0.526027402
180	0.5248344906
181	0.5234982493
182	0.5218201415
183	0.5212170437
184	0.5199565624
185	0.5181991583
186	0.516866669
187	0.5143423384
188	0.5117735534
189	0.5106076777
190	0.5089613845
191	0.5078018642
192	0.5063336383
193	0.5042312207
194	0.5024711145
195	0.5009763151
196	0.4998845685
197	0.4986744512
198	0.4968978544
199	0.4957169646
