iter	Passed	Remaining
0	159	31755
1	171	16953
2	186	12230
3	201	9879
4	212	8305
5	219	7095
6	225	6229
7	236	5679
8	250	5306
9	257	4897
10	269	4630
11	275	4319
12	282	4057
13	289	3849
14	294	3633
15	298	3431
16	301	3245
17	306	3097
18	312	2979
19	318	2863
20	327	2795
21	333	2696
22	337	2601
23	342	2512
24	347	2431
25	351	2352
26	359	2302
27	364	2239
28	369	2179
29	374	2122
30	379	2067
31	384	2017
32	388	1967
33	393	1921
34	399	1882
35	404	1842
36	411	1811
37	415	1772
38	424	1752
39	428	1714
40	436	1691
41	443	1668
42	452	1653
43	462	1638
44	475	1637
45	489	1639
46	501	1634
47	509	1612
48	517	1595
49	530	1591
50	547	1598
51	556	1583
52	560	1555
53	567	1533
54	574	1513
55	581	1494
56	585	1468
57	588	1441
58	598	1431
59	604	1411
60	614	1399
61	627	1397
62	635	1382
63	645	1370
64	650	1350
65	661	1343
66	676	1342
67	682	1324
68	687	1305
69	701	1302
70	708	1287
71	715	1271
72	727	1265
73	734	1250
74	742	1238
75	750	1224
76	759	1213
77	764	1195
78	773	1184
79	781	1171
80	791	1162
81	797	1147
82	806	1136
83	811	1121
84	820	1109
85	825	1094
86	831	1079
87	838	1066
88	843	1051
89	850	1039
90	856	1026
91	862	1012
92	868	999
93	874	986
94	884	977
95	889	964
96	897	952
97	902	939
98	908	926
99	915	915
100	920	902
101	925	889
102	930	876
103	935	863
104	940	851
105	947	840
106	950	826
107	953	812
108	956	798
109	962	787
110	964	773
111	968	760
112	971	747
113	976	736
114	979	724
115	982	711
116	985	699
117	991	688
118	997	679
119	1004	669
120	1010	659
121	1016	649
122	1023	640
123	1029	630
124	1034	620
125	1040	610
126	1044	600
127	1049	590
128	1055	581
129	1060	571
130	1064	560
131	1072	552
132	1076	542
133	1081	532
134	1087	523
135	1092	513
136	1098	505
137	1107	497
138	1116	489
139	1253	537
140	1323	553
141	1397	570
142	1455	580
143	1507	586
144	1586	601
145	1632	603
146	1638	590
147	1644	577
148	1650	565
149	1658	552
150	1672	542
151	1676	529
152	1724	529
153	1728	516
154	1734	503
155	1739	490
156	1742	477
157	1747	464
158	1751	451
159	1755	438
160	1759	426
161	1764	413
162	1768	401
163	1772	389
164	1776	376
165	1780	364
166	1788	353
167	1802	343
168	1816	333
169	1819	321
170	1823	309
171	1827	297
172	1833	286
173	1839	274
174	1844	263
175	1850	252
176	1853	240
177	1859	229
178	1866	218
179	1876	208
180	1882	197
181	1888	186
182	1894	176
183	1900	165
184	1913	155
185	1923	144
186	1929	134
187	1936	123
188	1944	113
189	1949	102
190	1955	92
191	1959	81
192	1965	71
193	1971	60
194	1977	50
195	1982	40
196	1988	30
197	1993	20
198	1997	10
199	2001	0
