kepid,koi_disposition,koi_period,koi_time0bk,koi_duration,koi_depth,koi_prad,koi_model_snr,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec
10797460,CONFIRMED,9.48803557,170.53875,2.9575,615.8,2.26,35.8,0,0,0,0
10797460,CONFIRMED,54.4183827,162.51384,4.507,874.8,2.83,25.8,0,0,0,0
10811496,CANDIDATE,19.89913995,175.850252,1.7822,10829.0,14.6,76.3,0,0,0,0
10848459,FALSE POSITIVE,1.736952453,170.307565,2.40641,8079.2,33.46,505.6,0,1,0,0
10854555,CONFIRMED,2.525591777,171.59555,1.6545,603.3,2.75,40.9,0,0,0,0
10872983,CONFIRMED,11.09432054,171.20116,4.5945,1517.5,3.9,66.5,0,0,0,0
10872983,CONFIRMED,4.13443512,172.97937,3.1402,686.0,2.77,40.2,0,0,0,0
10872983,CONFIRMED,2.56658897,179.55437,2.429,226.5,1.59,15.0,0,0,0,0
6721123,FALSE POSITIVE,7.36178958,132.25053,5.022,233.7,39.21,47.7,0,1,1,0
10910878,CONFIRMED,16.06864674,173.621937,3.5347,4914.3,5.76,161.9,0,0,0,0
11446443,CONFIRMED,2.470613377,122.763305,1.74319,14230.9,13.04,4304.3,0,0,0,0
10666592,CONFIRMED,2.204735417,121.3585417,3.88864,6674.7,16.1,5945.9,0,1,0,0
6922244,CONFIRMED,3.522498429,121.1194228,3.19843,9145.7,14.59,1741.5,0,0,0,0
10984090,CONFIRMED,3.709214104,133.98318,2.6302,131.1,1.16,50.6,0,0,0,0
10419211,FALSE POSITIVE,11.521446064,170.839688,3.6399,17984.3,150.51,622.1,0,1,0,0
10464078,FALSE POSITIVE,19.40393776,172.484253,12.2155,8918.7,7.18,214.7,0,1,0,0
10480982,FALSE POSITIVE,19.221388942,184.5521637,4.79843,74284.0,49.29,2317.0,0,1,0,0
10485250,FALSE POSITIVE,16.46983774,180.881761,9.4378,10478.9,7.94,303.4,0,1,0,0
10526549,CONFIRMED,9.27358173,173.258155,3.2875,1288.3,2.47,87.2,0,0,0,0
10583066,CONFIRMED,6.02930329,171.602959,1.5821,1912.7,2.85,65.4,0,0,0,0
10583180,FALSE POSITIVE,2.696370652,170.73769,3.6129,397.9,1.58,48.2,0,1,1,1
10601284,CONFIRMED,5.349553819,171.80694,3.0278,831.0,2.55,60.6,0,0,0,0
10601284,CONFIRMED,3.94105221,136.08662,2.5984,363.3,1.7,28.9,0,0,0,0
10601284,CONFIRMED,8.10904807,132.8031,3.596,217.4,1.3,14.1,0,0,0,0
2306756,FALSE POSITIVE,386.6030528,166.342079,6.8057,24926.6,41.5,994.0,0,1,0,0
10662202,CONFIRMED,21.67699193,171.53594,3.4555,857.2,2.95,34.3,0,0,0,0
10682541,CONFIRMED,4.99677968,171.74208,2.1717,934.7,2.78,28.2,0,0,0,0
11460018,CONFIRMED,4.280963604,171.89659,2.875,750.8,2.3,61.8,0,0,0,0
11463211,FALSE POSITIVE,1.50635409,170.998064,1.5155,2211.7,4.53,181.1,0,0,1,0
11465813,FALSE POSITIVE,670.645531,209.04355,53.412,18090.6,14.14,642.7,0,1,1,0
11493732,FALSE POSITIVE,61.2563628,173.83826,7.633,5123.3,39.87,85.3,0,1,0,0
11507101,CONFIRMED,38.3775486,172.82048,5.588,724.2,2.82,34.7,0,0,0,0
10910878,CONFIRMED,41.19725502,165.00404,4.6297,2213.9,3.86,51.2,0,0,0,0
10910878,CONFIRMED,6.252962249,171.30126,2.5819,1036.9,2.65,47.1,0,0,0,0
10987985,CONFIRMED,16.01308419,176.3608,3.2554,1121.9,3.1,33.2,0,0,0,0
11018648,CONFIRMED,32.62876672,194.1019,4.7971,1804.8,3.36,80.0,0,0,0,0
11018648,CONFIRMED,91.7732862,193.8378,6.473,652.0,2.12,19.1,0,0,0,0
11138155,CONFIRMED,4.959319244,172.2585292,2.22739,9802.0,12.21,696.5,0,0,0,0
11152159,FALSE POSITIVE,2.701287801,170.69579,3.3827,860.4,6.54,48.3,0,1,1,0
11153539,CONFIRMED,4.49876511,171.34905,3.7362,460.0,2.1,29.5,0,0,0,0
11242721,FALSE POSITIVE,19.651209505,179.401981,5.2514,11766.3,12.42,513.4,0,1,0,0
9579641,CONFIRMED,5.412203927,133.143089,2.9472,601.6,2.94,166.7,0,0,0,0
11304958,CONFIRMED,41.43958662,208.93203,10.5989,2793.1,5.5,141.1,0,0,0,0
11391957,CONFIRMED,8.35389523,171.63257,2.2514,1041.6,2.52,43.4,0,0,0,0
11403044,CONFIRMED,4.125543472,169.752585,3.1744,1487.3,4.43,128.6,0,0,0,0
11414511,CONFIRMED,2.816504904,170.9676846,2.50587,16813.7,12.21,1406.8,0,0,0,0
11442465,FALSE POSITIVE,33.93373447,186.67608,14.561,8503.7,7.34,236.1,0,1,1,0
12110942,CONFIRMED,3.689920099,170.36571,2.6557,426.7,1.89,35.6,0,0,0,0
12366084,CONFIRMED,4.431238488,171.015,3.15,1010.9,3.25,71.1,0,0,0,0
12366084,CONFIRMED,11.37936986,133.84992,2.6255,1023.5,3.95,37.9,0,0,0,0
12404086,CONFIRMED,26.39432897,176.05459,3.573,1510.9,3.07,48.2,0,0,0,0
8395660,CONFIRMED,13.57078281,136.279194,3.3539,511.7,2.64,88.4,0,0,0,0
9579641,CONFIRMED,7.12594387,139.00492,3.0014,192.4,1.79,47.1,0,0,0,0
11656840,FALSE POSITIVE,7.442652004,169.9717797,2.3078,24446.2,15.03,835.6,0,1,0,0
11754553,CONFIRMED,16.38489988,172.72782,3.0249,1127.1,2.0,28.9,0,0,0,0
11754553,CONFIRMED,7.8774163,176.3759,2.0805,1306.1,2.16,38.7,0,0,0,0
11754553,CONFIRMED,36.4454001,151.60125,4.007,1122.3,1.99,21.7,0,0,0,0
11812062,CONFIRMED,3.728732147,171.793255,2.683,5226.5,6.02,345.2,0,0,0,0
11818800,CANDIDATE,40.4195037,173.56469,3.362,6256.0,7.51,36.9,0,0,0,0
11853255,CONFIRMED,2.243380573,170.679233,1.1196,821.7,1.99,38.9,0,0,0,0
11909839,FALSE POSITIVE,10.405998015,177.197466,6.5036,14488.8,11.23,745.2,0,1,0,0
11918099,CONFIRMED,2.337437946,171.761982,1.9982,971.2,2.34,82.4,0,0,0,0
11918099,CANDIDATE,7.2406612,137.75545,0.558,556.4,19.45,13.7,0,0,0,0
9579641,CANDIDATE,3.43591631,132.6624,3.133,23.2,0.55,8.7,0,0,0,0
11923270,CONFIRMED,11.59822233,180.395376,2.5237,2804.5,2.65,71.0,0,0,0,0
11960862,CONFIRMED,6.575315881,173.634044,4.3084,2793.3,5.31,221.1,0,0,0,0
12020329,CONFIRMED,7.275040844,169.994217,7.5377,3001.0,4.86,312.1,0,0,0,0
12066335,CONFIRMED,19.27153892,186.77093,2.7594,1219.8,1.93,37.1,0,0,0,0
12066335,CONFIRMED,10.06524317,136.28906,1.369,1053.3,1.91,30.3,0,0,0,0
12070811,CONFIRMED,12.3935651,178.74725,3.8896,916.6,2.66,35.8,0,0,0,0
8395660,CONFIRMED,43.84439721,151.93538,6.802,615.2,2.87,83.7,0,0,0,0
3120431,FALSE POSITIVE,3.341913228,171.63943,3.813,725.3,21.55,39.0,0,1,1,0
3246984,FALSE POSITIVE,1.626630225,169.820171,2.1145,1620.6,32.43,103.6,0,0,1,0
3342970,CONFIRMED,2.711504086,170.03417,3.0099,837.5,3.12,64.5,0,0,0,0
3342970,CONFIRMED,7.21203748,172.81782,4.0491,950.4,3.32,51.5,0,0,0,0
12459725,FALSE POSITIVE,14.1798187,171.50237,2.505,459.9,1.88,11.2,0,0,0,1
12470844,CONFIRMED,8.47237911,174.16212,2.7245,1123.5,2.59,47.6,0,0,0,0
12470844,CONFIRMED,60.4189369,181.16367,5.039,931.3,2.36,20.1,0,0,0,0
12644822,CONFIRMED,12.611904345,180.892284,5.1497,6105.6,7.4,277.2,0,0,0,0
2440757,FALSE POSITIVE,1.433769925,170.403536,1.8868,1976.3,46.58,112.6,0,1,0,0
2445129,FALSE POSITIVE,10.31872301,173.31543,3.836,871.7,28.59,38.2,0,1,1,0
