transit_depth,transit_duration_hrs,ingress_duration_hrs,egress_duration_hrs,ingress_egress_ratio,depth_duration_ratio,odd_even_depth_diff,secondary_eclipse_depth,snr,flat_bottom_fraction,secondary_eclipse_significance,odd_even_depth_significance,transit_symmetry_score,out_of_transit_variability,transit_count,stellar_density_proxy,depth_consistency_across_transits,kepid,koi_period,koi_prad,true_class
0.00015462,140.0622,51.7153,72.545,0.712871,1.1e-06,0.941834,0.00017941,0.9776,0.0,1.160309,0.28866,0.0,0.00015816,3,0.181485,1.849305,2572029,6.005997,0.73,Transit
0.0,487.9004,208.0387,274.9083,0.756757,0.0,0.938077,0.00016495,0.0,0.0,164945.174036,0.809587,0.0,8.36e-05,2,0.050794,nan,5095082,20.657944,1.27,Transit
0.00030997,95.142,74.7189,0.4981,150.0,3.26e-06,0.525506,0.00018755,2.2323,0.5,0.605054,1.209516,0.0,0.00013885,9,0.278867,0.417212,4135665,4.168118,2.28,Transit
0.0,659.4871,72.9081,536.8689,0.135802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035607,2,0.036813,nan,8905246,27.637147,6.96,Transit
0.00048455,1.4822,0.2964,0.2964,1.0,0.00032692,0.188819,6.402e-05,12.8383,1.0,0.132117,3.64575,0.0,3.774e-05,5,25915.2642,0.304111,11446443,2.470613,13.04,Transit
0.00038818,604.5771,8.0076,108.1032,0.074074,6.4e-07,0.053981,0.0,3.3074,0.5,0.0,0.143602,0.0,0.00011737,2,0.069726,0.02699,12266636,33.385618,2.48,Transit
0.0003463,108.4433,13.9927,90.9525,0.153846,3.19e-06,0.448337,0.00031311,1.8457,0.0,0.904161,0.740478,0.0,0.00018763,20,0.256119,3.056753,9479306,4.860806,1.21,Transit
0.00052262,185.3786,78.3887,102.7527,0.762887,2.82e-06,0.50586,0.0002256,1.4963,0.0,0.431664,0.598657,0.0,0.00034928,5,0.169205,1.122311,10120548,8.830368,1.32,Transit
0.00036844,30.3477,0.5874,0.3916,1.5,1.214e-05,0.288177,0.00018802,3.2195,0.375,0.510311,0.893128,0.0,0.00011444,21,1.318813,1.041061,8008206,1.632916,1.13,Transit
0.00061932,196.7346,66.2087,1.8917,35.0,3.15e-06,0.244067,6.214e-05,3.6355,0.5,0.100329,0.595958,0.0,0.00017035,3,0.452059,0.519446,9570741,15.779801,2.11,Transit
0.0,1562.3926,264.4049,1265.9386,0.208861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018305,0,0.016169,nan,9605514,66.789347,2.07,Transit
0.00022719,246.6231,181.047,1.4256,127.0,9.2e-07,0.036887,0.00010111,2.7104,0.5,0.445064,0.082657,0.0,8.382e-05,4,0.1304,0.360626,9458343,11.895204,1.33,Transit
0.00035139,196.45,1.3548,135.4828,0.01,1.79e-06,1.090545,0.00029117,3.2282,0.25,0.828625,1.287712,0.0,0.00010885,4,0.2327,0.669096,7211469,11.296894,1.74,Transit
0.00018166,4.216,3.7024,3.7024,1.0,4.309e-05,0.90226,1.52e-06,6.2805,0.5,0.008367,3.272258,0.0,2.892e-05,2,175691.720944,0.45113,6364582,30.860978,1.08,Transit
0.0001546,74.9831,24.4597,35.6872,0.685393,2.06e-06,1.042618,0.00015023,2.5378,0.125,0.971792,1.016363,0.0,6.092e-05,10,0.366188,1.786334,8559644,3.341799,1.67,Transit
0.00073034,530.1909,4.0166,4.0166,1.0,1.38e-06,0.125346,0.0,4.5089,1.0,0.0,0.315303,0.0,0.00016198,2,0.244961,0.062673,4471747,51.390145,3.62,Transit
